tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,rating_pos,rating_neu,rating_neg,processed_text,cleaned_tweets
it’s so obvious that falice are still together 🥺🥺🥺🥺🥺 — yeah &lt;\3 it’s nice but they’re clearly not doing great and it makes it kind of bittersweet  https://t.co/HTJ5UYtmnp,FALSE,en,6,0,2/22/2021 1:50,1.36367E+18,"{'neg': 0.179, 'neu': 0.622, 'pos': 0.199, 'compound': -0.0722}",0.5,0.5,,"['obvious', 'falice', 'still', 'together', 'yeah', 'lt', '3', 'nice', 'clearly', 'great', 'makes', 'kind', 'bittersweet']",obvious falice still together yeah lt 3 nice clearly great makes kind bittersweet
this season could’ve been falice’s best one yet😔 — a crime we didn’t get to see alice with fp when she looks this fine but i digress 😪 https://t.co/YIBTE52TG1,FALSE,en,5,0,2/22/2021 1:47,1.36367E+18,"{'neg': 0.079, 'neu': 0.776, 'pos': 0.145, 'compound': 0.2144}",0.6,0.4,,"['season', 'could', 'falice', 'best', 'one', 'yet', 'crime', 'get', 'see', 'alice', 'fp', 'looks', 'fine', 'digress']",season could falice best one yet crime get see alice fp looks fine digress
"if skeet were to ever come back what would u want to see for falice — now the thing is whilst it’s clear that they’re still together, i don’t think they’re in a good place? like alice is clearly not doing well, there is no reason … https://t.co/kp5MCfZ8A0",FALSE,en,5,0,2/22/2021 0:34,1.36365E+18,"{'neg': 0.077, 'neu': 0.692, 'pos': 0.231, 'compound': 0.7897}",,1,,"['skeet', 'ever', 'come', 'back', 'would', 'u', 'want', 'see', 'falice', 'thing', 'whilst', 'clear', 'still', 'together', 'think', 'good', 'place', 'like', 'alice', 'clearly', 'well', 'reason']",skeet ever come back would u want see falice thing whilst clear still together think good place like alice clearly well reason
"RT @azalben: There were a lot of grueling break-ups in this week's #Riverdale, and #Falice was (sort of) one of them. But there was one lit…",FALSE,en,0,10,2/21/2021 23:57,1.36364E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,1,,"['lot', 'grueling', 'break', 'ups', 'week', 'riverdale', 'falice', 'sort', 'one', 'one', 'lit']",lot grueling break ups week riverdale falice sort one one lit
RT @jchnnysbqrchie: post the cobra kai character awards now or tomorrow?,FALSE,en,0,1,2/21/2021 23:50,1.36364E+18,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4588}",,1,,"['post', 'cobra', 'kai', 'character', 'awards', 'tomorrow']",post cobra kai character awards tomorrow
RT @mockingjaays: omg 5k views 😏 https://t.co/j10NWv1mO3,FALSE,en,0,3,2/21/2021 23:48,1.36364E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,1,,"['omg', '5k', 'views']",omg 5k views
"aka barchie married with their little kids running running around, choni married with toni’s kid and other kids that they will have, kang’s married with kids, falice together again, and veggie married with kids",FALSE,en,35,0,2/21/2021 23:20,1.36363E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.5,0.5,,"['aka', 'barchie', 'married', 'little', 'kids', 'running', 'running', 'around', 'choni', 'married', 'toni', 'kid', 'kids', 'kang', 'married', 'kids', 'falice', 'together', 'veggie', 'married', 'kids']",aka barchie married little kids running running around choni married toni kid kids kang married kids falice together veggie married kids
"Life without #Falice is just wrong! No, Alice, that is NOT your story! #FaliceisEndgame 
#Riverdale 
@CW_Riverdale 
@madchenamick https://t.co/ppPtko8y0V",FALSE,en,0,0,2/21/2021 21:48,1.36361E+18,"{'neg': 0.269, 'neu': 0.731, 'pos': 0.0, 'compound': -0.7081}",,0.5,0.5,"['life', 'without', 'falice', 'wrong', 'alice', 'story', 'faliceisendgame', 'riverdale']",life without falice wrong alice story faliceisendgame riverdale
Was there ever any one shots written about this scene and falice? know fp would have went wild seeing her in that https://t.co/Ts2LESAPUD,TRUE,en,11,0,2/21/2021 19:39,1.36357E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.5,0.5,,"['ever', 'one', 'shots', 'written', 'scene', 'falice', 'know', 'fp', 'would', 'went', 'wild', 'seeing']",ever one shots written scene falice know fp would went wild seeing
"WATCH: Riverdale Time Jump - ""Alice Cooper""! https://t.co/hboGGk3M6r 

@madchenamick #barchie #falice #riverdale https://t.co/GBkhVaG3Le",FALSE,en,1,0,2/21/2021 19:24,1.36357E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,1,,"['watch', 'riverdale', 'time', 'jump', 'alice', 'cooper', 'barchie', 'falice', 'riverdale']",watch riverdale time jump alice cooper barchie falice riverdale
"some of y’all...... no one is going to say you’re any less of a stan for not watching s5 because falice aren’t in it, but making all of alice’s own storylines about fp/falice when skeet is long gone? cut that shit out right now, i’m tired https://t.co/IkuBAiIXa9",FALSE,en,56,13,2/21/2021 17:12,1.36354E+18,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.9186}",,0.5,0.5,"['one', 'going', 'say', 'less', 'stan', 'watching', 's5', 'falice', 'making', 'alice', 'storylines', 'fp', 'falice', 'skeet', 'long', 'gone', 'cut', 'shit', 'right', 'tired']",one going say less stan watching s5 falice making alice storylines fp falice skeet long gone cut shit right tired
@CW_Riverdale Falice endgame🥰🥰,FALSE,en,3,0,2/21/2021 17:03,1.36353E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,,,"['falice', 'endgame']",falice endgame
@samantha_167 @falicehappiness @madchenamick How’d you know..🥺,FALSE,en,2,0,2/21/2021 16:04,1.36352E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,1,,['know'],know
@HindRain @falicehappiness Nope I’m crying🥺❤️❤️,FALSE,en,2,0,2/21/2021 15:59,1.36352E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.5,0.5,"['nope', 'crying']",nope crying
"no offens but until S5 coming, completely forgot there’s falice",FALSE,en,0,0,2/21/2021 11:31,1.36345E+18,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.1531}",,1,,"['offens', 's5', 'coming', 'completely', 'forgot', 'falice']",offens s5 coming completely forgot falice
╱ just knowing that alice so wears this to bed . . . Falice isn’t over. Shhh. https://t.co/EXCKliMBZu,FALSE,en,3,0,2/21/2021 9:39,1.36342E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.5,0.5,,"['knowing', 'alice', 'wears', 'bed', 'falice', 'shhh']",knowing alice wears bed falice shhh
Falice https://t.co/WMzuC4AOw5,TRUE,en,0,0,2/21/2021 5:09,1.36336E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,1,,['falice'],falice
falice and oq own hand holds no i will not elaborate,FALSE,en,0,0,2/21/2021 5:00,1.36335E+18,"{'neg': 0.164, 'neu': 0.597, 'pos': 0.239, 'compound': 0.25}",,1,,"['falice', 'oq', 'hand', 'holds', 'elaborate']",falice oq hand holds elaborate
@madsboutmadchen choni and falice. my babies 🥺💗,FALSE,en,1,0,2/21/2021 4:34,1.36335E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,,,"['choni', 'falice', 'babies']",choni falice babies
@falicehappiness I know right like I need them back super much like I miss falice so much and I miss fp so much 💜💜🥺,FALSE,en,1,0,2/21/2021 1:16,1.3633E+18,"{'neg': 0.118, 'neu': 0.554, 'pos': 0.328, 'compound': 0.7717}",0.5,0.5,,"['know', 'right', 'like', 'need', 'back', 'super', 'much', 'like', 'miss', 'falice', 'much', 'miss', 'fp', 'much']",know right like need back super much like miss falice much miss fp much
@julietsburke bc choni and falice get like one second of screentime every 3 episodes 💀,FALSE,en,0,0,2/21/2021 0:27,1.36328E+18,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",,0.5,0.5,"['bc', 'choni', 'falice', 'get', 'like', 'one', 'second', 'screentime', 'every', '3', 'episodes']",bc choni falice get like one second screentime every 3 episodes
me skipping every scene of riverdale that isn’t choni or falice https://t.co/vGRz2XYAHi,FALSE,en,0,0,2/21/2021 0:17,1.36328E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.5,0.5,"['skipping', 'every', 'scene', 'riverdale', 'choni', 'falice']",skipping every scene riverdale choni falice
@madchenamick Falice foreveeeer😍🥺🥺🐍,FALSE,en,0,0,2/20/2021 21:23,1.36324E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,,,"['falice', 'foreveeeer']",falice foreveeeer
@CW_Riverdale Release the Falice deleted scenes thanks,FALSE,en,4,1,2/20/2021 21:19,1.36324E+18,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.5,0.5,,"['release', 'falice', 'deleted', 'scenes', 'thanks']",release falice deleted scenes thanks
"@CW_Riverdale Falice,Barchie and Choni endgame",FALSE,en,3,0,2/20/2021 21:19,1.36324E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,,,"['falice', 'barchie', 'choni', 'endgame']",falice barchie choni endgame
@makimalesbian i just love that bughead and falice are all dating at the same time. its so incesty,FALSE,en,0,0,2/20/2021 18:58,1.3632E+18,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.6369}",1,,,"['love', 'bughead', 'falice', 'dating', 'time', 'incesty']",love bughead falice dating time incesty
RT @oocfalice: 5x05 as a falice stan be like https://t.co/omD0GtueiP,FALSE,en,0,12,2/20/2021 18:24,1.36319E+18,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",,1,,"['5x05', 'falice', 'stan', 'like']",5x05 falice stan like
Thinking about Falice’s bedroom 🥰 https://t.co/MpzFmKP8Rw,TRUE,en,12,0,2/20/2021 17:47,1.36318E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,1,,"['thinking', 'falice', 'bedroom']",thinking falice bedroom
"@CW_Riverdale Falice,Choni and Barchie endgame💕",FALSE,en,5,0,2/20/2021 17:20,1.36318E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,,,"['falice', 'choni', 'barchie', 'endgame']",falice choni barchie endgame
@medicaldoctxr I love seeing all your daily Falice tweets and your theories and plus u are very sweet and funny♡,FALSE,en,2,0,2/20/2021 17:19,1.36318E+18,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.8173}",1,,,"['love', 'seeing', 'daily', 'falice', 'tweets', 'theories', 'plus', 'u', 'sweet', 'funny']",love seeing daily falice tweets theories plus u sweet funny
