tweets,quote_status,language,favorite_count,retweet_count,time,processed_text,cleaned_tweets
"tori here! i’m back🤗 
here’s my stan list!
 • sabrina carpenter
 • justin bieber 
 • jughead jones &amp; cole sprouse 
 • olivia rodrigo 
 • and bughead 

🙏🏻DO NOT FOLLOW IF U LIKE B*RCHIE I DONT SAY VERY NICE THINGS ABOUT THEM. B*RCHIE FREE SAFE ZONE IS HERE🙏🏻)",False,en,51,9,2021-02-26 20:00:31,"['tori', 'back', 'stan', 'list', 'sabrina', 'carpenter', 'justin', 'bieber', 'jughead', 'jones', 'amp', 'cole', 'sprouse', 'olivia', 'rodrigo', 'bughead', 'follow', 'u', 'like', 'b', 'rchie', 'dont', 'say', 'nice', 'things', 'b', 'rchie', 'free', 'safe', 'zone']",tori back stan list sabrina carpenter justin bieber jughead jones amp cole sprouse olivia rodrigo bughead follow u like b rchie dont say nice things b rchie free safe zone
just a little thread of how you shouldn’t worry about varchie or bughead &lt;3,False,en,32,6,2021-02-26 19:56:08,"['little', 'thread', 'worry', 'varchie', 'bughead', 'lt', '3']",little thread worry varchie bughead lt 3
RT @dylsbrien: majority of bughead’s shippers comes from people obsessed with cole sp*ouse especially locals,False,en,0,9,2021-02-26 19:51:56,"['majority', 'bughead', 'shippers', 'comes', 'people', 'obsessed', 'cole', 'sp', 'ouse', 'especially', 'locals']",majority bughead shippers comes people obsessed cole sp ouse especially locals
"@crimsonclover90 @barchanted Um, Bughead is still driving the mysteries.",False,en,0,0,2021-02-26 19:47:54,"['um', 'bughead', 'still', 'driving', 'mysteries']",um bughead still driving mysteries
"RT @mybarchie: one more thing, when barchie gets in a confirmed relationship THEN we can start comparing and contrasting to varchie and bug…",False,en,0,5,2021-02-26 19:47:18,"['one', 'thing', 'barchie', 'gets', 'confirmed', 'relationship', 'start', 'comparing', 'contrasting', 'varchie', 'bug']",one thing barchie gets confirmed relationship start comparing contrasting varchie bug
"@crimsonclover90 @barchanted Then why are you arguing with a Bughead? Go enjoy the content while it lasts.
I was explaining how I felt thus far: B&amp;A offer nothing enticing together",False,en,0,0,2021-02-26 19:47:06,"['arguing', 'bughead', 'go', 'enjoy', 'content', 'lasts', 'explaining', 'felt', 'thus', 'far', 'b', 'amp', 'offer', 'nothing', 'enticing', 'together']",arguing bughead go enjoy content lasts explaining felt thus far b amp offer nothing enticing together
@TABlTHATATE @jugschandler WHY DID U ADD A BUGHEAD GIF THEY HAVE NOTHING TO DO WITH THIS!@#$56,False,en,0,0,2021-02-26 19:46:52,"['u', 'add', 'bughead', 'gif', 'nothing', '56']",u add bughead gif nothing 56
"She's pregnant🤗🤗!! You can read the short story on Ao3 or Wattpad called 'Cat Reveal'🐱🐱

#bughead 
@lilireinhart 
@colesprouse https://t.co/swVBC51Ec3",False,en,87,14,2021-02-26 19:44:38,"['pregnant', 'read', 'short', 'story', 'ao3', 'wattpad', 'called', 'cat', 'reveal', 'bughead']",pregnant read short story ao3 wattpad called cat reveal bughead
so what? they can ship varchie. i love bughead too https://t.co/mmGKOqykwM,True,en,5,0,2021-02-26 19:44:22,"['ship', 'varchie', 'love', 'bughead']",ship varchie love bughead
RT @willsjug: right but when are we getting them back?? #Riverdale https://t.co/ir8mzqm065,False,en,0,14,2021-02-26 19:42:40,"['right', 'getting', 'back', 'riverdale']",right getting back riverdale
